,Date,Open,High,Low,Close,Adj Close,Volume,Stock Ticker
199,2013-07-01,10.15,10.64,9.75,10.01,7.154476,18458700,VEON
200,2013-08-01,10.07,11.2,9.78,10.73,7.669082,21609400,VEON
201,2013-09-01,10.8,11.76,10.67,11.75,8.39811,23555000,VEON
202,2013-10-01,11.81,14.56,11.71,14.39,10.285003999999999,116696700,VEON
203,2013-11-01,14.71,14.74,11.98,12.28,8.776917,46182000,VEON
204,2013-12-01,12.13,13.0,11.73,12.94,9.585091,35358500,VEON
205,2014-01-01,12.87,12.9,9.5,9.69,7.177707000000001,57852100,VEON
206,2014-02-01,9.56,10.42,9.36,10.16,7.525853,38170000,VEON
207,2014-03-01,9.33,9.98,8.29,9.03,6.688822999999999,58737500,VEON
208,2014-04-01,9.1,9.73,7.86,8.4,6.222161,61095700,VEON
209,2014-05-01,8.39,8.58,7.53,8.37,6.19994,70110700,VEON
210,2014-06-01,8.35,9.2,8.19,8.4,6.222161,57034800,VEON
211,2014-07-01,8.4,9.0,8.02,8.34,6.177718,48855000,VEON
212,2014-08-01,8.36,8.92,7.87,8.52,6.31105,34611200,VEON
213,2014-09-01,8.48,9.14,7.05,7.22,5.348095,59313000,VEON
214,2014-10-01,7.24,7.28,5.62,6.48,4.7999529999999995,68415900,VEON
215,2014-11-01,6.49,6.54,5.23,5.25,3.8888510000000003,37392700,VEON
216,2014-12-01,5.24,5.24,3.09,4.18,3.1152279999999997,79349000,VEON
217,2015-01-01,4.14,4.38,3.35,3.6,2.6829709999999998,47909100,VEON
218,2015-02-01,3.59,5.48,3.52,5.48,4.084079,56181100,VEON
219,2015-03-01,5.4,5.9,5.04,5.24,3.905214,43736000,VEON
220,2015-04-01,5.19,6.14,5.19,5.67,4.2256800000000005,33480700,VEON
221,2015-05-01,5.6,6.49,5.19,6.21,4.628126,47404000,VEON
222,2015-06-01,6.27,6.5,4.85,4.97,3.7039910000000003,44215500,VEON
223,2015-07-01,5.19,6.0,4.5,5.78,4.30766,42183000,VEON
224,2015-08-01,5.76,6.2,4.1,4.67,3.480411,58398700,VEON
225,2015-09-01,4.56,5.08,4.08,4.12,3.070512,42068900,VEON
226,2015-10-01,4.13,4.31,3.61,3.78,2.81712,37106500,VEON
227,2015-11-01,3.83,3.83,3.22,3.6,2.6829709999999998,65166400,VEON
228,2015-12-01,3.53,3.59,2.89,3.28,2.4679580000000003,127507400,VEON
229,2016-01-01,3.16,3.42,2.71,3.29,2.475482,38285300,VEON
230,2016-02-01,3.28,3.89,3.1,3.54,2.663589,43616600,VEON
231,2016-03-01,3.59,4.27,3.58,4.26,3.205336,33159700,VEON
232,2016-04-01,4.18,4.29,3.63,3.81,2.8667439999999997,22677300,VEON
233,2016-05-01,3.81,3.9,3.33,3.8,2.859219,17816500,VEON
234,2016-06-01,3.76,4.11,3.31,3.88,2.9194139999999997,21360700,VEON
235,2016-07-01,3.9,4.2,3.76,4.08,3.0698990000000004,19462600,VEON
236,2016-08-01,4.05,4.51,4.01,4.27,3.21286,16295300,VEON
237,2016-09-01,4.31,4.45,3.32,3.48,2.618443,216966100,VEON
238,2016-10-01,3.5,3.53,3.12,3.34,2.513103,74473400,VEON
239,2016-11-01,3.38,3.51,3.21,3.36,2.528152,50747800,VEON
240,2016-12-01,3.39,3.98,3.35,3.85,2.927705,80665900,VEON
241,2017-01-01,3.91,4.29,3.84,4.23,3.216673,93800200,VEON
242,2017-02-01,4.22,4.5,3.96,4.11,3.12542,91307300,VEON
243,2017-03-01,4.14,4.24,3.88,4.05,3.0797939999999997,78645000,VEON
244,2017-04-01,4.06,4.36,3.8,4.13,3.2978620000000003,100995700,VEON
245,2017-05-01,4.12,4.25,3.81,3.88,3.098234,44468800,VEON
246,2017-06-01,3.88,3.98,3.67,3.91,3.122189,74627600,VEON
247,2017-07-01,3.91,4.16,3.85,4.09,3.265922,57641000,VEON
248,2017-08-01,4.07,4.29,3.9,4.22,3.369728,45493000,VEON
249,2017-09-01,4.21,4.47,4.08,4.18,3.4302699999999997,99036400,VEON
250,2017-10-01,4.18,4.23,3.81,3.91,3.208698,96798700,VEON
251,2017-11-01,3.93,4.14,3.69,4.04,3.315381,92071900,VEON
252,2017-12-01,4.03,4.05,3.75,3.84,3.151253,55239300,VEON
253,2018-01-01,3.87,4.11,3.77,3.8,3.1184279999999998,69244400,VEON
254,2018-02-01,3.8,3.82,2.85,2.89,2.3716459999999997,149456700,VEON
255,2018-03-01,3.01,3.07,2.51,2.64,2.166487,129252100,VEON
256,2018-04-01,2.63,2.76,2.2,2.75,2.391371,182238500,VEON
257,2018-05-01,2.73,2.8,2.33,2.39,2.078318,74470700,VEON
258,2018-06-01,2.4,2.48,2.21,2.38,2.069623,61775000,VEON
259,2018-07-01,2.39,3.15,2.34,3.03,2.634856,90727000,VEON
260,2018-08-01,3.02,3.09,2.65,2.9,2.521809,54788800,VEON
261,2018-09-01,2.91,2.96,2.69,2.9,2.521809,42881900,VEON
262,2018-10-01,2.9,2.98,2.69,2.81,2.443546,59177600,VEON
263,2018-11-01,2.82,2.97,2.54,2.72,2.3652830000000002,47072200,VEON
264,2018-12-01,2.75,2.75,2.17,2.34,2.034839,74184700,VEON
265,2019-01-01,2.32,2.64,2.32,2.53,2.2000610000000003,33762700,VEON
266,2019-02-01,2.54,2.67,2.36,2.51,2.1826689999999997,36488900,VEON
267,2019-03-01,2.53,2.61,2.07,2.09,1.8174419999999998,141882600,VEON
268,2019-04-01,2.14,2.36,2.09,2.34,2.183304,202442100,VEON
269,2019-05-01,2.33,2.53,2.26,2.3,2.145982,92295000,VEON
270,2019-06-01,2.29,2.86,2.28,2.8,2.6125,156651500,VEON
271,2019-07-01,2.85,3.28,2.7,3.13,2.920402,107945500,VEON
272,2019-08-01,3.13,3.13,2.51,2.61,2.435223,100389700,VEON
273,2019-09-01,2.6,2.62,2.27,2.4,2.239286,132648600,VEON
274,2019-10-01,2.41,2.49,2.28,2.4,2.239286,105793200,VEON
275,2019-11-01,2.42,2.7,2.33,2.64,2.463214,187032700,VEON
276,2019-12-01,2.65,2.68,2.45,2.53,2.36058,131564700,VEON
277,2020-01-01,2.54,2.7,2.51,2.59,2.416563,84226900,VEON
278,2020-02-01,2.6,2.78,1.87,1.98,1.8474110000000001,168515400,VEON
279,2020-03-01,2.0,2.06,1.25,1.51,1.51,194403200,VEON
280,2020-04-01,1.5,1.71,1.46,1.71,1.71,80969800,VEON
281,2020-05-01,1.67,1.69,1.41,1.49,1.49,95648800,VEON
282,2020-06-01,1.51,1.85,1.49,1.8,1.8,213378600,VEON
283,2020-07-01,1.78,1.87,1.63,1.69,1.69,90825300,VEON
284,2020-08-01,1.71,1.73,1.32,1.42,1.42,76075200,VEON
285,2020-09-01,1.39,1.4,1.21,1.26,1.26,148208500,VEON
286,2020-10-01,1.26,1.41,1.2,1.25,1.25,59940500,VEON
287,2020-11-01,1.23,1.53,1.23,1.45,1.45,74509100,VEON
288,2020-12-01,1.48,1.65,1.45,1.51,1.51,67712300,VEON
289,2021-01-01,1.52,1.9,1.52,1.61,1.61,75805200,VEON
290,2021-02-01,1.67,1.71,1.6,1.65,1.65,14802400,VEON
0,2019-08-01,13.02,13.22,7.66,7.96,7.96,31769600,SNDL
1,2019-09-01,7.94,9.06,4.01,4.795,4.795,14887500,SNDL
2,2019-10-01,4.8,5.25,3.05,3.25,3.25,14891500,SNDL
3,2019-11-01,3.26,4.02,2.42,2.42,2.42,16049500,SNDL
4,2019-12-01,2.38,3.1,1.88,3.01,3.01,24311700,SNDL
5,2020-01-01,3.1,3.88,1.17,1.2,1.2,51199100,SNDL
6,2020-02-01,1.29,1.62,1.1,1.42,1.42,27153800,SNDL
7,2020-03-01,1.44,1.7,0.51,0.64,0.64,20484500,SNDL
8,2020-04-01,0.61,0.64,0.451,0.57,0.57,17363800,SNDL
9,2020-05-01,0.599,1.28,0.37,0.851,0.851,98549800,SNDL
10,2020-06-01,0.844,1.25,0.75,0.799,0.799,35886400,SNDL
11,2020-07-01,0.8,0.94,0.56,0.584,0.584,21935400,SNDL
12,2020-08-01,0.623,0.778,0.28,0.34,0.34,322114900,SNDL
13,2020-09-01,0.319,0.333,0.165,0.241,0.241,260417600,SNDL
14,2020-10-01,0.26,0.328,0.138,0.144,0.144,524852800,SNDL
15,2020-11-01,0.145,0.86,0.145,0.729,0.729,6692518700,SNDL
16,2020-12-01,0.912,0.95,0.421,0.474,0.474,7548493700,SNDL
17,2021-01-01,0.484,1.36,0.47,0.815,0.815,10079387900,SNDL
18,2021-02-01,1.0,1.33,0.902,1.21,1.21,3663014100,SNDL
